listing_id,number_of_reviews,first_review,last_review,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
3335,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4291,35,7/1/13,10/18/15,1.14,92,10,9,10,9,9,9
5682,297,3/21/10,12/14/15,4.21,96,10,10,10,10,9,10
6606,52,7/17/09,12/28/15,0.66,93,9,9,10,9,10,9
7369,40,6/7/09,3/4/12,0.5,94,10,10,10,10,10,9
9419,79,7/30/10,12/7/15,1.19,91,9,9,10,10,9,9
9460,240,8/31/09,12/30/15,3.11,98,10,10,10,10,10,10
9531,26,1/12/12,12/20/15,0.54,100,10,10,10,10,10,10
9534,14,1/15/12,10/14/15,0.29,100,10,10,10,10,10,10
9596,32,6/15/11,9/26/15,0.58,88,9,9,9,9,10,9
10385,74,10/2/09,10/9/15,0.97,94,10,10,9,10,9,10
10695,12,6/13/10,9/6/15,0.18,95,10,10,10,10,9,10
11012,47,1/31/10,11/29/15,0.65,95,10,9,9,9,10,9
11411,47,2/13/10,8/17/15,0.66,93,10,10,10,10,9,9
13068,26,10/21/12,12/15/15,0.67,93,9,9,10,9,10,9
14386,30,8/9/10,11/25/15,0.46,96,10,9,10,10,10,10
15108,42,7/6/11,11/23/15,0.77,86,9,8,10,10,9,9
17951,21,6/10/10,12/31/15,0.31,94,10,10,10,10,10,10
19611,26,3/23/10,11/12/15,0.37,87,9,9,10,9,9,8
19619,17,9/4/10,5/2/15,0.26,98,9,10,9,10,10,9
19623,38,3/23/10,10/25/15,0.54,89,9,9,9,9,9,8
20868,91,6/18/10,11/29/15,1.35,94,10,10,10,10,9,9
20927,244,7/4/10,12/26/15,3.64,97,10,9,10,10,10,10
20928,44,6/7/15,12/23/15,6.23,97,10,10,10,10,10,10
23192,7,6/10/13,8/18/15,0.22,100,10,10,10,10,10,10
23356,6,4/20/11,6/21/15,0.1,83,8,9,10,9,7,8
23430,22,7/8/10,10/17/15,0.33,96,9,10,10,10,9,9
23919,6,8/2/10,8/31/15,0.09,97,10,10,10,9,10,9
24212,29,11/2/10,12/8/15,0.46,91,9,10,10,10,9,9
25002,404,4/23/10,12/23/15,5.82,98,10,10,10,10,10,10
26116,110,9/21/10,12/26/15,1.71,97,10,10,10,10,10,9
30712,64,6/22/10,11/9/15,0.95,81,8,7,9,9,9,8
37234,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38545,67,11/18/10,12/28/15,1.07,96,10,9,10,10,10,9
41401,26,8/26/10,7/26/15,0.4,96,10,10,10,10,9,9
43373,182,8/13/10,1/1/16,2.77,93,9,9,10,10,10,9
46022,5,9/1/10,4/2/12,0.08,99,9,10,10,10,10,10
47196,353,9/8/10,12/14/15,5.44,93,10,10,10,9,9,9
47491,37,9/13/10,7/27/15,0.57,94,9,9,10,10,9,9
48319,21,6/7/11,8/6/12,0.38,96,10,9,9,9,9,9
48848,22,11/5/10,6/30/15,0.35,99,10,10,10,10,10,10
50233,20,6/28/11,9/25/15,0.36,100,10,10,10,10,10,10
51826,59,10/18/10,9/1/15,0.93,99,10,9,10,10,10,10
52525,26,9/26/10,11/23/15,0.4,92,9,9,10,10,10,10
53803,41,10/22/10,9/16/15,0.65,96,10,9,10,10,10,10
53867,287,10/18/10,11/28/15,4.52,96,10,10,10,10,9,10
58503,76,9/28/14,11/23/15,4.91,94,9,9,10,10,10,9
59708,6,11/23/11,11/25/15,0.12,90,10,10,10,10,9,10
59827,13,12/24/10,12/20/15,0.21,87,9,9,9,9,9,8
59838,70,12/15/10,11/8/15,1.14,88,9,10,10,10,9,9
63308,320,12/16/10,12/7/15,5.2,98,10,10,10,10,10,10
63733,125,4/23/11,12/30/15,2.18,97,10,10,10,10,10,10
